clusters,silh_score
5,0.05245483646904408
10,0.05338225603728897
15,0.05984782910908815
20,0.06373102721863462
25,0.06664326911460375
30,0.07020641591472038
35,0.07166659319550203
40,0.07336080476997126
45,0.07663250816628185
50,0.07577316476229463
55,0.07740937851258388
60,0.0803058837067435
65,0.08181092261287833
70,0.08298703704868778
75,0.08025910794512624
80,0.08094625386889198
85,0.08093554887186961
90,0.08073000068360953
95,0.07885260701747057
100,0.07519550284332717
105,0.07416551480363512
110,0.07220222592478008
