Model,Train,Task,Test,Time,Accuracy,F1,Precision,Recall,Matthews Correlation,AUC,Best Cutoff,Chi (alpha = 0.1),Chi (alpha = 0.05),Chi (alpha = 0.01)
XGBoost,claimbuster,checkworthy,checkthat2022,2022-10-10 09:44:06.902652,0.3815288827395365,0.3303370786516854,0.2151219512195122,0.7112903225806452,0.002523037488576844,0.49905825201346576,0.9443283081054688,Independent,Independent,Independent
XGBoost,claimrank,checkworthy,multifc,2022-10-10 09:42:39.822617,0.20555651225532404,0.340952380952381,0.9998603546990644,0.20551680587846954,-0.002934963857969509,0.42355789010400224,0.10630210489034653,Independent,Independent,Independent
XGBoost,claimrank,checkworthy,claimrank,2022-10-10 09:41:11.852993,0.9584760273972602,0.7371273712737128,0.8242424242424242,0.6666666666666666,0.7196027597609751,0.9225756906890336,0.028019554913043976,Dependent,Dependent,Dependent
XGBoost,claimrank,checkworthy,claimbuster,2022-10-10 09:41:20.637473,0.7739769685123019,0.3373614052572568,0.5730004231908591,0.2390536723163842,0.25971061756692154,0.7252821450003526,0.017636142671108246,Dependent,Dependent,Dependent
XGBoost,claimrank,checkworthy,germeval,2022-10-10 09:42:29.331976,0.6614135625596944,0.20870535714285715,0.49866666666666665,0.13196894848270996,0.10626022461286237,0.6121820233607123,0.018431441858410835,Dependent,Dependent,Dependent
XGBoost,claimrank,checkworthy,checkthat2019,2022-10-10 09:42:04.810344,0.8481918538256566,0.32566790666215756,0.3748540288049825,0.2878923766816143,0.24446725159916058,0.7609661973713594,0.012503569945693016,Dependent,Dependent,Dependent
XGBoost,claimrank,checkworthy,checkthat2021,2022-10-10 09:41:38.882758,0.8925231711353856,0.26820678968868855,0.2451081359423275,0.2961119751166407,0.21186199402584482,0.757636268374345,0.017524221912026405,Dependent,Dependent,Dependent
XGBoost,claimrank,checkworthy,checkthat2022,2022-10-10 09:42:21.294723,0.7049463853337945,0.2238398544131028,0.2567849686847599,0.19838709677419356,0.04595503807077916,0.5341671283078365,0.07299130409955978,Dependent,Dependent,Independent
XGBoost,checkthat2022,checkworthy,multifc,2022-10-10 09:50:51.039573,0.20426496756787785,0.3391729233702777,0.9998594716132658,0.20422514997560207,-0.0029715679043406714,0.38150731459953885,0.10371965914964676,Independent,Independent,Independent
XGBoost,checkthat2022,checkworthy,claimrank,2022-10-10 09:49:23.220373,0.7986387569025298,0.18924508790072386,0.19042663891779396,0.1880781089414183,0.07429599382736389,0.5693807652523627,0.0686335489153862,Dependent,Dependent,Dependent
XGBoost,checkthat2022,checkworthy,claimbuster,2022-10-10 09:49:33.309622,0.7110440657799686,0.23561151079136694,0.32425742574257427,0.1850282485875706,0.07800355077701507,0.5682462297012185,0.06594248116016388,Dependent,Dependent,Dependent
XGBoost,checkthat2022,checkworthy,germeval,2022-10-10 09:50:41.527529,0.6117478510028653,0.4608753315649868,0.4346466541588493,0.49047282992237123,0.15994970472224174,0.6063569987268582,0.3447920083999634,Dependent,Dependent,Dependent
XGBoost,checkthat2022,checkworthy,checkthat2019,2022-10-10 09:50:19.002212,0.7896459840121812,0.19139596136962245,0.1874462596732588,0.19551569506726457,0.07057520305551185,0.5754629722905491,0.06254629790782928,Dependent,Dependent,Dependent
XGBoost,checkthat2022,checkworthy,checkthat2021,2022-10-10 09:49:51.447526,0.8257199602780536,0.12414223331253899,0.09323754490082774,0.18569206842923794,0.04190884319255181,0.5719240571136818,0.051676806062459946,Dependent,Dependent,Dependent
XGBoost,checkthat2022,checkworthy,checkthat2022,2022-10-10 09:50:35.728791,0.7945383615084526,0.44366197183098594,0.5675675675675675,0.36416184971098264,0.3369893357843892,0.8082302052217092,0.043910831212997437,Dependent,Dependent,Dependent
XGBoost,germeval,checkworthy,multifc,2022-10-10 09:52:37.230073,0.4031915504276448,0.5746604483717885,0.9998576411132465,0.4031975659462097,-0.004983585043824731,0.43657969516920697,0.08704732358455658,Independent,Independent,Independent
XGBoost,germeval,checkworthy,claimrank,2022-10-10 09:51:11.674719,0.7933735713368435,0.27685393258426966,0.24600638977635783,0.31654676258992803,0.16024082238057252,0.6803307741663602,0.18840664625167847,Dependent,Dependent,Dependent
XGBoost,germeval,checkworthy,claimbuster,2022-10-10 09:51:21.433277,0.7509879743339141,0.4640570696908725,0.481404174573055,0.4479166666666667,0.30248131769601333,0.7431406443014494,0.3100025951862335,Dependent,Dependent,Dependent
XGBoost,germeval,checkworthy,germeval,2022-10-10 09:52:29.861042,0.7372881355932204,0.5618374558303887,0.6309523809523809,0.5063694267515924,0.38209745924146815,0.7749469214437368,0.2505572736263275,Dependent,Dependent,Dependent
XGBoost,germeval,checkworthy,checkthat2019,2022-10-10 09:52:06.694384,0.7922344880091359,0.32333250681874537,0.2762126668078797,0.3898355754857997,0.20905009871992467,0.7294470856908127,0.20694254338741302,Dependent,Dependent,Dependent
XGBoost,germeval,checkworthy,checkthat2021,2022-10-10 09:51:39.331866,0.8144860973187686,0.21569141957491472,0.15003650523241666,0.3835147744945568,0.15170854119168858,0.7134336658198795,0.22521528601646423,Dependent,Dependent,Dependent
XGBoost,germeval,checkworthy,checkthat2022,2022-10-10 09:52:23.315246,0.25458318920788653,0.3443869790082142,0.21222347206599176,0.9129032258064517,-0.018790838489868567,0.48538692632206926,0.8716914653778076,Independent,Independent,Independent
XGBoost,checkthat2019,checkworthy,multifc,2022-10-10 09:49:02.339521,0.22797198783077893,0.37123956896753235,0.9998740871317049,0.2279342116593473,-0.0023312528395786633,0.5080800252590488,0.01663914881646633,Independent,Independent,Independent
XGBoost,checkthat2019,checkworthy,claimrank,2022-10-10 09:47:20.358798,0.8890458456401695,0.2763819095477387,0.746606334841629,0.1695786228160329,0.32131036426442,0.7319941019803554,0.00016264643636532128,Dependent,Dependent,Dependent
XGBoost,checkthat2019,checkworthy,claimbuster,2022-10-10 09:47:34.538735,0.773637020354396,0.2527703745265815,0.6150170648464164,0.15907485875706215,0.22561183601602788,0.7311797579401628,0.0005710053956136107,Dependent,Dependent,Dependent
XGBoost,checkthat2019,checkworthy,germeval,2022-10-10 09:48:48.713091,0.6716809933142311,0.29087158329035584,0.5402298850574713,0.1990119971771348,0.16100545439566735,0.6493925771684604,0.002862915163859725,Dependent,Dependent,Dependent
XGBoost,checkthat2019,checkworthy,checkthat2019,2022-10-10 09:48:27.573244,0.9405367231638418,0.11368421052631579,0.07964601769911504,0.19852941176470587,0.09874142134655463,0.7739632395296828,0.0006226645200513303,Dependent,Dependent,Dependent
XGBoost,checkthat2019,checkworthy,checkthat2021,2022-10-10 09:47:56.992974,0.9219008606421715,0.33760308826109847,0.38727858293075684,0.29922239502332815,0.2996225562202872,0.7978194316488483,0.0015093099791556597,Dependent,Dependent,Dependent
XGBoost,checkthat2019,checkworthy,checkthat2022,2022-10-10 09:48:37.508314,0.7018332756831546,0.25043478260869567,0.27169811320754716,0.23225806451612904,0.06607376599204623,0.5716438686950469,0.03840048238635063,Dependent,Dependent,Dependent
XGBoost,checkthat2021,checkworthy,multifc,2022-10-10 09:46:55.263067,0.017765914700648644,0.03474827245804541,1.0,0.01768133413703034,0.0012449160613698304,0.3378302094396127,0.0017777974717319012,Independent,Independent,Independent
XGBoost,checkthat2021,checkworthy,claimrank,2022-10-10 09:44:55.835495,0.8913573905226659,0.2578947368421053,0.8802395209580839,0.1510791366906475,0.338147234129973,0.7455019002953533,5.889959993510274e-06,Dependent,Dependent,Dependent
XGBoost,checkthat2021,checkworthy,claimbuster,2022-10-10 09:45:14.770554,0.7659881868015128,0.07398688414326551,0.7773851590106007,0.03884180790960452,0.13850976428314818,0.7528361175241787,1.4551234016835224e-05,Dependent,Dependent,Dependent
XGBoost,checkthat2021,checkworthy,germeval,2022-10-10 09:46:36.857114,0.6630850047755492,0.026224982746721876,0.59375,0.013408609738884969,0.047365876327217574,0.6048324885196945,5.054277062299661e-05,Dependent,Dependent,Dependent
XGBoost,checkthat2021,checkworthy,checkthat2019,2022-10-10 09:45:55.162480,0.8863342215454891,0.25942460317460314,0.7612809315866085,0.15635276532137518,0.3116481480518313,0.8406346033158754,2.9319897294044495e-05,Dependent,Dependent,Dependent
XGBoost,checkthat2021,checkworthy,checkthat2021,2022-10-10 09:45:39.223445,0.9788064696040156,0.0,0.0,0.0,-0.006194503918733388,0.7710540521607266,1.5628904293407686e-05,Independent,Independent,Independent
XGBoost,checkthat2021,checkworthy,checkthat2022,2022-10-10 09:46:20.949254,0.7751643030093394,0.04970760233918129,0.265625,0.027419354838709678,0.018756641340212713,0.5639330407238533,0.0014075710205361247,Independent,Independent,Independent
